ProductName,Brand,Price,DiscountPrice,Image_Url,Quantity,Category,SubCategory,Absolute_Url,Recipe Suggestion,Protein (g),Carbs (g),Fat (g),Fiber (g)
Long Grain Rice,Elina,160,84,https://www.bigbasket.com/media/uploads/p/l/40018400_4-elina-long-grain-rice.jpg,1 kg,"Foodgrains, Oil & Masala",Basmati Rice,https://www.bigbasket.com/pd/40018400/elina-long-grain-rice-1-kg/,Vegetable Pulao,6,40,7,5
Maida,BB Royal,60,45,https://www.bigbasket.com/media/uploads/p/l/10000416_12-bb-royal-maida.jpg,1 kg,"Foodgrains, Oil & Masala","Sooji, Maida & Besan",https://www.bigbasket.com/pd/10000416/bb-royal-maida-1-kg-pouch/,Roti / Paratha,3,16,1,2
"Methi/Venthaya Keerai - Cleaned, without roots",Fresho,277.92,110.5,https://www.bigbasket.com/media/uploads/p/l/10000111_20-fresho-methiventhaya-keerai-cleaned-without-roots.jpg,1 kg,Fruits & Vegetables,Leafy Vegetables,https://www.bigbasket.com/pd/10000111/fresho-methiventhaya-keerai-cleaned-without-roots-1-kg/,Saag/Leafy Veg Curry,5,10,5,5
Mint - Organically Grown,Fresho,168.49,129.74,https://www.bigbasket.com/media/uploads/p/l/40029981_3-fresho-mint-organically-grown.jpg,1 kg,Fruits & Vegetables,Organic Vegetables,https://www.bigbasket.com/pd/40029981/fresho-mint-organically-grown-1-kg/,Mixed Veg Curry,4,14,7,4
"Mint Leaves - Cleaned, without roots",Fresho,135.06,61.5,https://www.bigbasket.com/media/uploads/p/l/10000329_15-fresho-mint-leaves-cleaned-without-roots.jpg,1 kg,Fruits & Vegetables,Leafy Vegetables,https://www.bigbasket.com/pd/10000329/fresho-mint-leaves-cleaned-without-roots-1-kg/,Saag/Leafy Veg Curry,5,10,5,5
Moong Dal/Hesaru Bele,BB Royal,200,139,https://www.bigbasket.com/media/uploads/p/l/10000434_15-bb-royal-moong-dal.jpg,1 kg,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal",https://www.bigbasket.com/pd/10000434/bb-royal-moong-dal-1-kg-pouch/,Dal Tadka,9,18,3,4
Moong Dal/Hesaru Bele,Super Saver,180,127,https://www.bigbasket.com/media/uploads/p/l/40159894_2-super-saver-moong-dal.jpg,1 kg,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal",https://www.bigbasket.com/pd/40159894/super-saver-moong-dal-1-kg/,Dal Tadka,9,18,3,4
Moong Whole - High Nutritional Value & Rich In Protein,Natureland Organics,240,180,https://www.bigbasket.com/media/uploads/p/l/40261320_1-natureland-organics-moong-whole-high-nutritional-value-rich-in-protein.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40261320/natureland-organics-moong-whole-high-nutritional-value-rich-in-protein-1-kg/,Dal Tadka,9,18,3,4
Multimillet (Multigrain) Atta,Manna,119,89.25,https://www.bigbasket.com/media/uploads/p/l/277012_6-manna-multimillet-multigrain-atta.jpg,1 kg,"Foodgrains, Oil & Masala",Atta Whole Wheat,https://www.bigbasket.com/pd/277012/manna-multimillet-multigrain-atta-1-kg-pouch/,Idli / Dosa,5,20,2,3
Mustard/Sasive/Rai - Big,BB Royal,300,175,https://www.bigbasket.com/media/uploads/p/l/40030811_9-bb-royal-mustardrai-big.jpg,1 kg,"Foodgrains, Oil & Masala",Whole Spices,https://www.bigbasket.com/pd/40030811/bb-royal-mustardrai-big-1-kg/,Mixed Veg Curry,4,14,7,4
Mustard/Sasive/Rai - Small,BB Royal,300,158,https://www.bigbasket.com/media/uploads/p/l/40030810_8-bb-royal-mustardrai-small.jpg,1 kg,"Foodgrains, Oil & Masala",Whole Spices,https://www.bigbasket.com/pd/40030810/bb-royal-mustardrai-small-1-kg/,Mixed Veg Curry,4,14,7,4
"Nature land Groundnut Oil, 1 L",Natureland Organics,375,281.25,https://www.bigbasket.com/media/uploads/p/l/40065532_2-natureland-organics-nature-land-groundnut-oil-1-l.jpg,1 L,"Foodgrains, Oil & Masala","Organic Edible Oil, Ghee",https://www.bigbasket.com/pd/40065532/natureland-organics-nature-land-groundnut-oil-1-l-1-l/,Mixed Veg Curry,4,14,7,4
"Natureâ€™s Superfoods Gluten Free Flour - Rich In Dietary Fibre, Protein, Magnesium & Iron",Aashirvaad,210,189,https://www.bigbasket.com/media/uploads/p/l/40172984_4-aashirvaad-natures-super-foods-gluten-free-flour.jpg,1 kg,"Foodgrains, Oil & Masala",Rice & Other Flours,https://www.bigbasket.com/pd/40172984/aashirvaad-natures-super-foods-gluten-free-flour-1-kg-pouch/,Roti / Paratha,3,16,1,2
Natureâ€™s Superfoods Multi Millet Mix - Rich In Dietary Fibre,Aashirvaad,160,144,https://www.bigbasket.com/media/uploads/p/l/40172982_4-aashirvaad-natures-super-foods-multi-millet-mix.jpg,1 kg,"Foodgrains, Oil & Masala",Rice & Other Flours,https://www.bigbasket.com/pd/40172982/aashirvaad-natures-super-foods-multi-millet-mix-1-kg-pouch/,Idli / Dosa,5,20,2,3
Nature's Super Foods - Ragi Flour/Ragi Hittu,Aashirvaad,90,72,https://www.bigbasket.com/media/uploads/p/l/40172980_5-aashirvaad-natures-super-foods-ragi-flour.jpg,1 kg,"Foodgrains, Oil & Masala",Rice & Other Flours,https://www.bigbasket.com/pd/40172980/aashirvaad-natures-super-foods-ragi-flour-1-kg-pouch/,Idli / Dosa,5,20,2,3
Nature's Super Foods Organic Moong Dal/Hesaru Bele,Aashirvaad,275,184.25,https://www.bigbasket.com/media/uploads/p/l/40202027_1-aashirvaad-natures-super-foods-organic-moong-dal.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40202027/aashirvaad-natures-super-foods-organic-moong-dal-1-kg/,Dal Tadka,9,18,3,4
Nature's Super Foods Organic Urad Dal Split/Uddina Bele,Aashirvaad,280,187.6,https://www.bigbasket.com/media/uploads/p/l/40202029_2-aashirvaad-natures-super-foods-organic-urad-dal.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40202029/aashirvaad-natures-super-foods-organic-urad-dal-1-kg/,Dal Tadka,9,18,3,4
New Rice/Akki - Sona Masoori,BB Popular,55,43,https://www.bigbasket.com/media/uploads/p/l/40128963_3-bb-popular-new-rice-sona-masoori.jpg,1 kg,"Foodgrains, Oil & Masala",Raw Rice,https://www.bigbasket.com/pd/40128963/bb-popular-new-rice-sona-masoori-1-kg/,Vegetable Pulao,6,40,7,5
Olive Oil - Extra Light,ALLEGRO,1350,649,https://www.bigbasket.com/media/uploads/p/l/40117984_5-allegro-olive-oil-extra-light.jpg,1 L,"Foodgrains, Oil & Masala",Olive & Canola Oils,https://www.bigbasket.com/pd/40117984/allegro-olive-oil-extra-light-1-l/,Mixed Veg Curry,4,14,7,4
Olive Oil - Extra Virgin,ALLEGRO,1500,889,https://www.bigbasket.com/media/uploads/p/l/40117983_6-allegro-olive-oil-extra-virgin.jpg,1 L,"Foodgrains, Oil & Masala",Olive & Canola Oils,https://www.bigbasket.com/pd/40117983/allegro-olive-oil-extra-virgin-1-l/,Mixed Veg Curry,4,14,7,4
Olive Oil For Indian Cooking - Frying & Baking,BORGES,1350,675,https://www.bigbasket.com/media/uploads/p/l/267277_7-borges-extra-light-olive-oil.jpg,1 L,"Foodgrains, Oil & Masala",Olive & Canola Oils,https://www.bigbasket.com/pd/267277/borges-extra-light-olive-oil-1-l-pet-bottle/,Mixed Veg Curry,4,14,7,4
Olive Oil For Indian Cooking - Frying & Baking,BORGES,1350,729,https://www.bigbasket.com/media/uploads/p/l/40171618_7-borges-extra-light-olive-oil.jpg,1 L,"Foodgrains, Oil & Masala",Olive & Canola Oils,https://www.bigbasket.com/pd/40171618/borges-extra-light-olive-oil-1-lt-glass-bottle/,Mixed Veg Curry,4,14,7,4
Olive Pomace Oil,ALLEGRO,850,439,https://www.bigbasket.com/media/uploads/p/l/40117987_6-allegro-olive-pomace-oil.jpg,1 L,"Foodgrains, Oil & Masala",Olive & Canola Oils,https://www.bigbasket.com/pd/40117987/allegro-olive-pomace-oil-1-l-bottle/,Mixed Veg Curry,4,14,7,4
Onion (Loose),Fresho,34.87,26,https://www.bigbasket.com/media/uploads/p/l/10000148_30-fresho-onion.jpg,1 kg,Fruits & Vegetables,"Potato, Onion & Tomato",https://www.bigbasket.com/pd/10000148/fresho-onion-1-kg/,Mixed Veg Curry,4,14,7,4
Organic - Almond/Badam,BB Royal,1299,1089,https://www.bigbasket.com/media/uploads/p/l/40125916_10-bb-royal-organic-almondbadam.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dry Fruits,https://www.bigbasket.com/pd/40125916/bb-royal-organic-almondbadam-1-kg/,Dry Fruit Ladoo,5,20,10,2
Organic - Besan/Kadale Hittu,BB Royal,149,110,https://www.bigbasket.com/media/uploads/p/l/40125915_6-bb-royal-organic-besan-flour.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Flours,https://www.bigbasket.com/pd/40125915/bb-royal-organic-besan-flour-1-kg/,Chana Masala,11,30,5,6
Organic - Brown Sugar/Sakkare,BB Royal,119,83,https://www.bigbasket.com/media/uploads/p/l/40075302_14-bb-royal-organic-brown-sugar.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Sugar, Jaggery",https://www.bigbasket.com/pd/40075302/bb-royal-organic-brown-sugar-1-kg/,Mixed Veg Curry,4,14,7,4
Organic - Cashew/Godambi Whole Bold,BB Royal,1499,1099,https://www.bigbasket.com/media/uploads/p/l/40135839_10-bb-royal-organic-cashewkaju-whole-bold.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dry Fruits,https://www.bigbasket.com/pd/40135839/bb-royal-organic-cashewkaju-whole-bold-1-kg/,Dry Fruit Ladoo,5,20,10,2
Organic - Chana Brown/Kadale Kaalu,BB Royal,139,99,https://www.bigbasket.com/media/uploads/p/l/40098408_10-bb-royal-organic-brown-chanachanna-brown.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40098408/bb-royal-organic-brown-chanachanna-brown-1-kg/,Chana Masala,11,30,5,6
Organic - Chana Dal/Channa Unpolished,BB Royal,141,110,https://www.bigbasket.com/media/uploads/p/l/40072468_13-bb-royal-organic-chana-dalchanna-unpolished.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40072468/bb-royal-organic-chana-dalchanna-unpolished-1-kg/,Chana Masala,11,30,5,6
Organic - Extra Virgin Olive Oil,Phalada Pure & Sure,1100,1100,https://www.bigbasket.com/media/uploads/p/l/40014267_1-phalada-pure-sure-organic-extra-virgin-olive-oil.jpg,1 L,"Foodgrains, Oil & Masala","Organic Edible Oil, Ghee",https://www.bigbasket.com/pd/40014267/phalada-pure-sure-organic-extra-virgin-olive-oil-1-l-bottle/,Mixed Veg Curry,4,14,7,4
"Organic - Foxtail Millet / Italian, Thinai Rice",BB Royal,130,93,https://www.bigbasket.com/media/uploads/p/l/40109374_14-bb-royal-organic-foxtail-millet-italian-thinai-rice.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Millet & Flours,https://www.bigbasket.com/pd/40109374/bb-royal-organic-foxtail-millet-italian-thinai-rice-1-kg/,Idli / Dosa,5,20,2,3
"Organic - Green Moong/Hesaru Kaalu, Whole",BB Royal,179,135,https://www.bigbasket.com/media/uploads/p/l/40072471_15-bb-royal-organic-green-moong-whole.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40072471/bb-royal-organic-green-moong-whole-1-kg/,Dal Tadka,9,18,3,4
Organic - Idly/Idli Rice/Akki,BB Royal,88,72,https://www.bigbasket.com/media/uploads/p/l/40072518_13-bb-royal-organic-idlyidli-rice.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Rice, Other Rice",https://www.bigbasket.com/pd/40072518/bb-royal-organic-idlyidli-rice-1-kg/,Idli / Dosa,5,20,2,3
Organic - Kodo Millet/Varagu/Rice Flour/Akki Hittu,BB Royal,175,110,https://www.bigbasket.com/media/uploads/p/l/40176636_5-bb-royal-organic-kodo-milletvaragu-rice-flour.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Millet & Flours,https://www.bigbasket.com/pd/40176636/bb-royal-organic-kodo-milletvaragu-rice-flour-1-kg/,Idli / Dosa,5,20,2,3
Organic - Little Millet/Samai/Rice Flour/Akki Hittu,BB Royal,175,119,https://www.bigbasket.com/media/uploads/p/l/40176638_6-bb-royal-organic-little-milletsamai-rice-flour.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Millet & Flours,https://www.bigbasket.com/pd/40176638/bb-royal-organic-little-milletsamai-rice-flour-1-kg/,Idli / Dosa,5,20,2,3
"Organic - Moong Dal/Hesaru Bele, Unpolished",BB Royal,225,152,https://www.bigbasket.com/media/uploads/p/l/40072478_14-bb-royal-organic-moong-dal-unpolished.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40072478/bb-royal-organic-moong-dal-unpolished-1-kg/,Dal Tadka,9,18,3,4
Organic - Mustard Oil,Organic Tattva,400,400,https://www.bigbasket.com/media/uploads/p/l/40112945_2-organic-tattva-organic-mustard-oil.jpg,1 L,"Foodgrains, Oil & Masala","Organic Edible Oil, Ghee",https://www.bigbasket.com/pd/40112945/organic-tattva-organic-mustard-oil-1-l-pet-bottel/,Mixed Veg Curry,4,14,7,4
Organic - Poha Medium,BB Royal,110,72,https://www.bigbasket.com/media/uploads/p/l/40093612_9-bb-royal-organic-poha-medium.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Rice, Other Rice",https://www.bigbasket.com/pd/40093612/bb-royal-organic-poha-medium-1-kg/,Poha,7,40,7,3
Organic - Ponni Raw Rice/Akki,BB Royal,96,72,https://www.bigbasket.com/media/uploads/p/l/40085739_9-bb-royal-organic-ponni-raw-rice.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Rice, Other Rice",https://www.bigbasket.com/pd/40085739/bb-royal-organic-ponni-raw-rice-1-kg/,Vegetable Pulao,6,40,7,5
Organic - Quinoa,BB Royal,375,199,https://www.bigbasket.com/media/uploads/p/l/40109379_14-bb-royal-organic-quinoa.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Rice, Other Rice",https://www.bigbasket.com/pd/40109379/bb-royal-organic-quinoa-1-kg/,Idli / Dosa,5,20,2,3
Organic - Ragi Flour/Ragi Hittu,BB Royal,80,65,https://www.bigbasket.com/media/uploads/p/l/40125922_6-bb-royal-organic-ragi-flour.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Millet & Flours,https://www.bigbasket.com/pd/40125922/bb-royal-organic-ragi-flour-1-kg/,Idli / Dosa,5,20,2,3
Organic - Rice Flour/Akki Hittu,BB Royal,99,57,https://www.bigbasket.com/media/uploads/p/l/40072486_7-bb-royal-organic-rice-flour.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Flours,https://www.bigbasket.com/pd/40072486/bb-royal-organic-rice-flour-1-kg/,Vegetable Pulao,6,40,7,5
Organic - Sona Masoori Raw Rice/Akki,BB Royal,95,75,https://www.bigbasket.com/media/uploads/p/l/40072488_12-bb-royal-organic-sona-masoori-raw-rice.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Rice, Other Rice",https://www.bigbasket.com/pd/40072488/bb-royal-organic-sona-masoori-raw-rice-1-kg/,Vegetable Pulao,6,40,7,5
Organic - Sooji/Rawa,BB Royal,88,65,https://www.bigbasket.com/media/uploads/p/l/40072490_15-bb-royal-organic-soojirawa.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Flours,https://www.bigbasket.com/pd/40072490/bb-royal-organic-soojirawa-1-kg/,Roti / Paratha,3,16,1,2
Organic - Sugar/Sakkare,BB Royal,110,69,https://www.bigbasket.com/media/uploads/p/l/40072492_15-bb-royal-organic-sugar.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Sugar, Jaggery",https://www.bigbasket.com/pd/40072492/bb-royal-organic-sugar-1-kg/,Mixed Veg Curry,4,14,7,4
Organic - Turmeric Powder/Arisina Pudi,BB Royal,260,199,https://www.bigbasket.com/media/uploads/p/l/40203899_1-bb-royal-organic-turmeric-powder.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Masalas & Spices,https://www.bigbasket.com/pd/40203899/bb-royal-organic-turmeric-powder-1-kg/,Mixed Veg Curry,4,14,7,4
"Organic - Urad Whole, Gota, Unpolished",BB Royal,230,155,https://www.bigbasket.com/media/uploads/p/l/40072496_13-bb-royal-organic-urad-whole-gota-unpolished.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40072496/bb-royal-organic-urad-whole-gota-unpolished-1-kg/,Dal Tadka,9,18,3,4
Organic Barley,BB Royal,119,95,https://www.bigbasket.com/media/uploads/p/l/40176440_4-bb-royal-organic-barley.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Rice, Other Rice",https://www.bigbasket.com/pd/40176440/bb-royal-organic-barley-1-kg/,Mixed Veg Curry,4,14,7,4
Organic Brown Rice,BB Royal,95,74,https://www.bigbasket.com/media/uploads/p/l/40072466_14-bb-royal-organic-brown-rice.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Rice, Other Rice",https://www.bigbasket.com/pd/40072466/bb-royal-organic-brown-rice-1-kg/,Vegetable Pulao,6,40,7,5
Organic Chana Dal - Rich In Protein & Dietary Fibre,Aashirvaad,200,134,https://www.bigbasket.com/media/uploads/p/l/40202031_1-aashirvaad-natures-super-foods-organic-chana-dal.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40202031/aashirvaad-natures-super-foods-organic-chana-dal-1-kg/,Chana Masala,11,30,5,6
Organic Foxtail Millet/Thinai Rava,BB Royal,175,119,https://www.bigbasket.com/media/uploads/p/l/40213643_1-bb-royal-organic-foxtail-milletthinai-rava.jpg,1 Kg,"Foodgrains, Oil & Masala",Organic Millet & Flours,https://www.bigbasket.com/pd/40213643/bb-royal-organic-foxtail-milletthinai-rava-1-kg/,Idli / Dosa,5,20,2,3
Organic Jaggery/Bella Powder,BB Royal,189,99,https://www.bigbasket.com/media/uploads/p/l/40186969_1-bb-royal-organic-jaggery-powder.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Sugar, Jaggery",https://www.bigbasket.com/pd/40186969/bb-royal-organic-jaggery-powder-1-kg-jar/,Mixed Veg Curry,4,14,7,4
Organic Jowar/Sorghum Millet,BB Royal,80,66,https://www.bigbasket.com/media/uploads/p/l/40135846_10-bb-royal-organic-jowarsorghum-millet.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Millet & Flours,https://www.bigbasket.com/pd/40135846/bb-royal-organic-jowarsorghum-millet-1-kg/,Idli / Dosa,5,20,2,3
Organic Rajma/Capparadavare Sharmili,BB Royal,229,149,https://www.bigbasket.com/media/uploads/p/l/40168544_7-bb-royal-organic-rajma-sharmili.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40168544/bb-royal-organic-rajma-sharmili-1-kg/,Rajma Curry,11,28,4,6
Organic Rice - Brown Basmati/Basmati Akki,24 Mantra,220,220,https://www.bigbasket.com/media/uploads/p/l/279841_5-24-mantra-organic-rice-brown-basmati.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Rice, Other Rice",https://www.bigbasket.com/pd/279841/24-mantra-organic-rice-brown-basmati-1-kg-pouch/,Vegetable Biryani,8,45,12,5
Organic Sonamasoori White Rice/Akki,BB Royal,96,69,https://www.bigbasket.com/media/uploads/p/l/40085737_9-bb-royal-organic-sonamasoori-white-rice.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Rice, Other Rice",https://www.bigbasket.com/pd/40085737/bb-royal-organic-sonamasoori-white-rice-1-kg/,Vegetable Pulao,6,40,7,5
Organic Sugar/Sakkare,24 Mantra,145,103,https://www.bigbasket.com/media/uploads/p/l/40012925_4-24-mantra-organic-sugar.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Sugar, Jaggery",https://www.bigbasket.com/pd/40012925/24-mantra-organic-sugar-1-kg-pouch/,Mixed Veg Curry,4,14,7,4
Organic Tamarind/Hunisehannu,BB Royal,339,249,https://www.bigbasket.com/media/uploads/p/l/40176444_3-bb-royal-organic-tamarind.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Masalas & Spices,https://www.bigbasket.com/pd/40176444/bb-royal-organic-tamarind-1-kg/,Mixed Veg Curry,4,14,7,4
Palakkad Red Matta Boiled Rice - Unda,BB Royal,70,49,https://www.bigbasket.com/media/uploads/p/l/40169840_2-bb-royal-palakkad-red-matta-boiled-rice-unda.jpg,1 kg,"Foodgrains, Oil & Masala",Boiled & Steam Rice,https://www.bigbasket.com/pd/40169840/bb-royal-palakkad-red-matta-boiled-rice-unda-1-kg-pouch/,Vegetable Pulao,6,40,7,5
Pineapple,Fresho,62.34,39,https://www.bigbasket.com/media/uploads/p/l/10000156_21-fresho-pineapple.jpg,1 pc,Fruits & Vegetables,Apples & Pomegranate,https://www.bigbasket.com/pd/10000156/fresho-pineapple-1-pc/,Dry Fruit Ladoo,5,20,10,2
"Poha/Avalakki/Aval/Chivda Thick - Flattened & Beaten Rice , Makers Breakfast &Â Teatime Snacks",BB Royal,80,58,https://www.bigbasket.com/media/uploads/p/l/10000431_18-bb-royal-pohaavalakkiavalchivda-thick.jpg,1 kg,"Foodgrains, Oil & Masala","Poha, Sabudana & Murmura",https://www.bigbasket.com/pd/10000431/bb-royal-pohaavalakkiavalchivda-thick-1-kg-pouch/,Poha,7,40,7,3
"Poha/Avalakki/Aval/Chivda Thick - Flattened & Beaten Rice , Makers Breakfast &Â Teatime Snacks",BB Popular,80,49,https://www.bigbasket.com/media/uploads/p/l/30005422_8-bb-popular-pohaavalakkiavalchivda-thick.jpg,1 kg,"Foodgrains, Oil & Masala","Poha, Sabudana & Murmura",https://www.bigbasket.com/pd/30005422/bb-popular-pohaavalakkiavalchivda-thick-1-kg-pouch/,Poha,7,40,7,3
Potato (Loose),Fresho,50.32,38.75,https://www.bigbasket.com/media/uploads/p/l/40048457_9-fresho-potato-new-crop.jpg,1 kg,Fruits & Vegetables,"Potato, Onion & Tomato",https://www.bigbasket.com/pd/40048457/fresho-potato-new-crop-1-kg/,Mixed Veg Curry,4,14,7,4
Pumpkin - Disco,Fresho,41.56,16,https://www.bigbasket.com/media/uploads/p/l/40202912_1-fresho-pumpkin-disco.jpg,1 pc,Fruits & Vegetables,"Gourd, Pumpkin, Drumstick",https://www.bigbasket.com/pd/40202912/fresho-pumpkin-disco-1-pc/,Mixed Veg Curry,4,14,7,4
Pumpkin - Organically Grown (Loose),Fresho,91.94,70.79,https://www.bigbasket.com/media/uploads/p/l/40023471_4-fresho-pumpkin-organically-grown.jpg,1 pc,Fruits & Vegetables,Organic Vegetables,https://www.bigbasket.com/pd/40023471/fresho-pumpkin-organically-grown-1-pc/,Mixed Veg Curry,4,14,7,4
Radish - White (Loose),Fresho,37.66,24.5,https://www.bigbasket.com/media/uploads/p/l/10000164_14-fresho-radish-white.jpg,1 kg,Fruits & Vegetables,Root Vegetables,https://www.bigbasket.com/pd/10000164/fresho-radish-white-1-kg/,Mixed Veg Curry,4,14,7,4
Ragi Flour - High Source Of Iron & Calcium,BB Popular,100,41,https://www.bigbasket.com/media/uploads/p/l/40233621_2-bb-popular-ragi-flour-high-source-of-iron-calcium.jpg,1 kg,"Foodgrains, Oil & Masala",Rice & Other Flours,https://www.bigbasket.com/pd/40233621/bb-popular-ragi-flour-high-source-of-iron-calcium-1-kg-pouch/,Idli / Dosa,5,20,2,3
Ragi Flour/Ragi Hittu,Super Saver,90,39,https://www.bigbasket.com/media/uploads/p/l/40159970_1-super-saver-ragi-flour.jpg,1 kg,"Foodgrains, Oil & Masala",Rice & Other Flours,https://www.bigbasket.com/pd/40159970/super-saver-ragi-flour-1-kg/,Idli / Dosa,5,20,2,3
Raisins/Ona Drakshi - Afghan,BB Royal,1000,745,https://www.bigbasket.com/media/uploads/p/l/40111144_5-bb-royal-raisinskishmish-afghan.jpg,1 kg,"Foodgrains, Oil & Masala",Raisins,https://www.bigbasket.com/pd/40111144/bb-royal-raisinskishmish-afghan-1-kg/,Dry Fruit Ladoo,5,20,10,2
Rajma Chitra,BB Popular,220,109,https://www.bigbasket.com/media/uploads/p/l/40085073_5-bb-popular-rajma-whitechitra.jpg,1 kg,"Foodgrains, Oil & Masala",Urad & Other Dals,https://www.bigbasket.com/pd/40085073/bb-popular-rajma-whitechitra-1-kg/,Rajma Curry,11,28,4,6
Rajma/Capparadavare - Kashmiri,BB Royal,180,119,https://www.bigbasket.com/media/uploads/p/l/70001287_8-bb-royal-rajma-kashmiri.jpg,1 kg,"Foodgrains, Oil & Masala",Urad & Other Dals,https://www.bigbasket.com/pd/70001287/bb-royal-rajma-kashmiri-1-kg-pouch/,Rajma Curry,11,28,4,6
"Refined Sunflower Oil - Trans Fat Free, Healthy Cooking Oil",Fiona,259,186,https://www.bigbasket.com/media/uploads/p/l/40236891_1-fiona-fiona-refined-sunflower-oil-1l-pouch-vito-protect.jpg,1 L,"Foodgrains, Oil & Masala","Sunflower, Rice Bran Oil",https://www.bigbasket.com/pd/40236891/fiona-fiona-refined-sunflower-oil-1l-pouch-vito-protect-1-l-pouch/,Mixed Veg Curry,4,14,7,4
Rice - Baskati,BB Royal,90,67,https://www.bigbasket.com/media/uploads/p/l/40056476_5-bb-royal-rice-baskati.jpg,1 kg,"Foodgrains, Oil & Masala",Boiled & Steam Rice,https://www.bigbasket.com/pd/40056476/bb-royal-rice-baskati-1-kg/,Vegetable Pulao,6,40,7,5
Rice - Flour,BB Royal,60,41,https://www.bigbasket.com/media/uploads/p/l/10000458_11-bb-royal-rice-flour.jpg,1 kg,"Foodgrains, Oil & Masala",Rice & Other Flours,https://www.bigbasket.com/pd/10000458/bb-royal-rice-flour-1-kg-pouch/,Vegetable Pulao,6,40,7,5
"Rice - Ponni, Boiled",BB Popular,65,51,https://www.bigbasket.com/media/uploads/p/l/60000008_5-bb-popular-rice-ponni-boiled.jpg,1 kg,"Foodgrains, Oil & Masala",Boiled & Steam Rice,https://www.bigbasket.com/pd/60000008/bb-popular-rice-ponni-boiled-1-kg-pouch/,Vegetable Pulao,6,40,7,5
Rice/Akki - Dosa,BB Royal,60,45,https://www.bigbasket.com/media/uploads/p/l/10000449_13-bb-royal-rice-dosa.jpg,1 kg,"Foodgrains, Oil & Masala",Raw Rice,https://www.bigbasket.com/pd/10000449/bb-royal-rice-dosa-1-kg-pouch/,Idli / Dosa,5,20,2,3
"Rice/Akki - Raw, Sona Masoori",BB Royal,70,57,https://www.bigbasket.com/media/uploads/p/l/10000457_13-bb-royal-rice-raw-sona-masoori.jpg,1 kg,"Foodgrains, Oil & Masala",Raw Rice,https://www.bigbasket.com/pd/10000457/bb-royal-rice-raw-sona-masoori-1-kg-pouch/,Vegetable Pulao,6,40,7,5
Ridge Gourd,Fresho,90.91,43,https://www.bigbasket.com/media/uploads/p/l/10000175_15-fresho-ridge-gourd.jpg,1 kg,Fruits & Vegetables,"Gourd, Pumpkin, Drumstick",https://www.bigbasket.com/pd/10000175/fresho-ridge-gourd-1-kg/,Mixed Veg Curry,4,14,7,4
Roasted Sooji/Rava,BB Royal,80,55,https://www.bigbasket.com/media/uploads/p/l/40064889_3-bb-royal-roasted-soojirava.jpg,1 kg,"Foodgrains, Oil & Masala","Sooji, Maida & Besan",https://www.bigbasket.com/pd/40064889/bb-royal-roasted-soojirava-1-kg-0/,Roti / Paratha,3,16,1,2
