ProductName,Brand,Price,DiscountPrice,Image_Url,Quantity,Category,SubCategory,Absolute_Url,Recipe Suggestion,Protein (g),Carbs (g),Fat (g),Fiber (g)
Beans - Broad (Loose),Fresho,140.26,73.5,https://www.bigbasket.com/media/uploads/p/l/10000036_20-fresho-beans-broad.jpg,1 kg,Fruits & Vegetables,"Beans, Brinjals & Okra",https://www.bigbasket.com/pd/10000036/fresho-beans-broad-1-kg/,Mixed Veg Curry,4,14,7,4
Beans - Cluster (Loose),Fresho,84.42,49,https://www.bigbasket.com/media/uploads/p/l/10000039_7-fresho-beans-cluster.jpg,1 kg,Fruits & Vegetables,"Beans, Brinjals & Okra",https://www.bigbasket.com/pd/10000039/fresho-beans-cluster-1-kg/,Mixed Veg Curry,4,14,7,4
Beetroot - Organically Grown (Loose),Fresho,141.59,109.02,https://www.bigbasket.com/media/uploads/p/l/50000465_6-fresho-beetroot-organically-grown.jpg,1 kg,Fruits & Vegetables,Organic Vegetables,https://www.bigbasket.com/pd/50000465/fresho-beetroot-organically-grown-1-kg/,Mixed Veg Curry,4,14,7,4
Besan Fine/Kadale Hittu,BB Royal,150,89,https://www.bigbasket.com/media/uploads/p/l/30000155_6-bb-royal-besan-flour.jpg,1 kg,"Foodgrains, Oil & Masala","Sooji, Maida & Besan",https://www.bigbasket.com/pd/30000155/bb-royal-besan-flour-1-kg-pouch/,Chana Masala,11,30,5,6
Besan/Kadale Hittu,Super Saver,120,85,https://www.bigbasket.com/media/uploads/p/l/40159981_4-super-saver-besan-flour.jpg,1 kg,"Foodgrains, Oil & Masala","Sooji, Maida & Besan",https://www.bigbasket.com/pd/40159981/super-saver-besan-flour-1-kg-0/,Chana Masala,11,30,5,6
Biryani Basamti Rice/Akki,Natureland Organics,225,168.75,https://www.bigbasket.com/media/uploads/p/l/40195220_1-natureland-organics-biryani-basmati-rice.jpg,1 kg,"Foodgrains, Oil & Masala","Organic Rice, Other Rice",https://www.bigbasket.com/pd/40195220/natureland-organics-biryani-basmati-rice-1-kg-pouch/,Vegetable Biryani,8,45,12,5
Biryani Basmati Rice/Basmati Akki - Extra Long,BB Royal,195,134,https://www.bigbasket.com/media/uploads/p/l/30001715_5-bb-royal-biryani-basmati-rice-extra-long.jpg,1 kg,"Foodgrains, Oil & Masala",Basmati Rice,https://www.bigbasket.com/pd/30001715/bb-royal-biryani-basmati-rice-extra-long-1-kg-pouch/,Vegetable Biryani,8,45,12,5
Bitter Gourd - Organically Grown (Loose),Fresho,119.41,71.5,https://www.bigbasket.com/media/uploads/p/l/50000467_6-fresho-bitter-gourd-organically-grown.jpg,1 kg,Fruits & Vegetables,Organic Vegetables,https://www.bigbasket.com/pd/50000467/fresho-bitter-gourd-organically-grown-1-kg/,Mixed Veg Curry,4,14,7,4
Bitter Gourd (Loose),Fresho,79.22,47,https://www.bigbasket.com/media/uploads/p/l/10000048_21-fresho-bitter-gourd.jpg,1 kg,Fruits & Vegetables,"Gourd, Pumpkin, Drumstick",https://www.bigbasket.com/pd/10000048/fresho-bitter-gourd-1-kg/,Mixed Veg Curry,4,14,7,4
Boiled Rice/Beyisida Akki - Rajabogham Deluxe,BB Royal,70,55,https://www.bigbasket.com/media/uploads/p/l/40064842_2-bb-royal-boiled-rice-rajabogham-deluxe.jpg,1 kg,"Foodgrains, Oil & Masala",Boiled & Steam Rice,https://www.bigbasket.com/pd/40064842/bb-royal-boiled-rice-rajabogham-deluxe-1-kg/,Vegetable Pulao,6,40,7,5
Brinjal - Bottle Shape (Loose),Fresho,96.1,74,https://www.bigbasket.com/media/uploads/p/l/10000053_18-fresho-brinjal-bottle-shape.jpg,1 kg,Fruits & Vegetables,"Beans, Brinjals & Okra",https://www.bigbasket.com/pd/10000053/fresho-brinjal-bottle-shape-1-kg/,Mixed Veg Curry,4,14,7,4
Brinjal - Varikatri (Loose),Fresho,71.43,39,https://www.bigbasket.com/media/uploads/p/l/10000058_20-fresho-brinjal-varikatri.jpg,1 kg,Fruits & Vegetables,"Beans, Brinjals & Okra",https://www.bigbasket.com/pd/10000058/fresho-brinjal-varikatri-1-kg/,Mixed Veg Curry,4,14,7,4
Brown Chana,Super Saver,130,95,https://www.bigbasket.com/media/uploads/p/l/40159879_5-super-saver-brown-chana.jpg,1 kg,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal",https://www.bigbasket.com/pd/40159879/super-saver-brown-chana-1-kg/,Chana Masala,11,30,5,6
Cabbage - Organically Grown (Loose),Fresho,63.55,40,https://www.bigbasket.com/media/uploads/p/l/40023473_5-fresho-cabbage-organically-grown.jpg,1 pc (approx. 300-1.3 Kg),Fruits & Vegetables,Organic Vegetables,https://www.bigbasket.com/pd/40023473/fresho-cabbage-organically-grown-1-pc-approx-300-13-kg/,Mixed Veg Curry,4,14,7,4
Carrot - Ooty (Loose),Fresho,203.9,94,https://www.bigbasket.com/media/uploads/p/l/10000272_12-fresho-carrot-ooty.jpg,1 kg,Fruits & Vegetables,Root Vegetables,https://www.bigbasket.com/pd/10000272/fresho-carrot-ooty-1-kg/,Mixed Veg Curry,4,14,7,4
Carrot - Orange (Loose),Fresho,101.3,78,https://www.bigbasket.com/media/uploads/p/l/10000070_15-fresho-carrot-orange.jpg,1 kg,Fruits & Vegetables,Root Vegetables,https://www.bigbasket.com/pd/10000070/fresho-carrot-orange-1-kg/,Mixed Veg Curry,4,14,7,4
Cashew/Godambi - Split,BB Royal,1800,955,https://www.bigbasket.com/media/uploads/p/l/40111140_10-bb-royal-cashewkaju-split.jpg,1 kg,"Foodgrains, Oil & Masala",Cashews,https://www.bigbasket.com/pd/40111140/bb-royal-cashewkaju-split-1-kg/,Dry Fruit Ladoo,5,20,10,2
Cashew/Godambi - Split,BB Popular,1500,940,https://www.bigbasket.com/media/uploads/p/l/40021403_7-bb-popular-cashewkaju-split.jpg,1 kg,"Foodgrains, Oil & Masala",Cashews,https://www.bigbasket.com/pd/40021403/bb-popular-cashewkaju-split-1-kg/,Dry Fruit Ladoo,5,20,10,2
Cashew/Godambi - Whole,BB Royal,2000,1085,https://www.bigbasket.com/media/uploads/p/l/40046738_6-bb-royal-cashewkaju-whole.jpg,1 kg,"Foodgrains, Oil & Masala",Cashews,https://www.bigbasket.com/pd/40046738/bb-royal-cashewkaju-whole-1-kg/,Dry Fruit Ladoo,5,20,10,2
Chana - Brown/Kadale Kaalu,BB Popular,140,97,https://www.bigbasket.com/media/uploads/p/l/70001280_10-bb-popular-channa-brown.jpg,1 kg,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal",https://www.bigbasket.com/pd/70001280/bb-popular-channa-brown-1-kg-pouch/,Chana Masala,11,30,5,6
Chana Dal,Super Saver,140,91,https://www.bigbasket.com/media/uploads/p/l/40159884_2-super-saver-chana-dal.jpg,1 kg,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal",https://www.bigbasket.com/pd/40159884/super-saver-chana-dal-1-kg/,Chana Masala,11,30,5,6
Chana Dal - Helps Lower Cholesterol,Natureland Organics,165,123.75,https://www.bigbasket.com/media/uploads/p/l/40261314_1-natureland-organics-chana-dal-helps-lower-cholesterol.jpg,1 kg,"Foodgrains, Oil & Masala",Organic Dals & Pulses,https://www.bigbasket.com/pd/40261314/natureland-organics-chana-dal-helps-lower-cholesterol-1-kg/,Chana Masala,11,30,5,6
Chana Dal/Kadale Bele,BB Royal,160,99,https://www.bigbasket.com/media/uploads/p/l/10000803_14-bb-royal-channa-dal.jpg,1 kg,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal",https://www.bigbasket.com/pd/10000803/bb-royal-channa-dal-1-kg-pouch/,Chana Masala,11,30,5,6
Chana Dal/Kadale Bele,BB Popular,150,93,https://www.bigbasket.com/media/uploads/p/l/20000432_15-bb-popular-channa-dal.jpg,1 kg,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal",https://www.bigbasket.com/pd/20000432/bb-popular-channa-dal-1-kg-pouch/,Chana Masala,11,30,5,6
"Chilli - Bajji, Mild (Loose)",Fresho,80.52,57.5,https://www.bigbasket.com/media/uploads/p/l/10000337_13-fresho-chilli-bajji-mild.jpg,1 kg,Fruits & Vegetables,"Lemon, Ginger & Garlic",https://www.bigbasket.com/pd/10000337/fresho-chilli-bajji-mild-1-kg/,Mixed Veg Curry,4,14,7,4
"Chilli - Green Long, Medium (Loose)",Fresho,115.58,71.5,https://www.bigbasket.com/media/uploads/p/l/10000333_14-fresho-chilli-green-long-medium.jpg,1 kg,Fruits & Vegetables,"Lemon, Ginger & Garlic",https://www.bigbasket.com/pd/10000333/fresho-chilli-green-long-medium-1-kg/,Mixed Veg Curry,4,14,7,4
Coccinia (Loose),Fresho,87.66,58.5,https://www.bigbasket.com/media/uploads/p/l/10000089_19-fresho-coccinia.jpg,1 kg,Fruits & Vegetables,Cucumber & Capsicum,https://www.bigbasket.com/pd/10000089/fresho-coccinia-1-kg/,Mixed Veg Curry,4,14,7,4
Coconut - Large,Fresho,36.36,22.5,https://www.bigbasket.com/media/uploads/p/l/10000092_15-fresho-coconut-large.jpg,1 pc,Fruits & Vegetables,Seasonal Fruits,https://www.bigbasket.com/pd/10000092/fresho-coconut-large-1-pc/,Mixed Veg Curry,4,14,7,4
Coconut - Organically Grown (Loose),Fresho,51.46,31,https://www.bigbasket.com/media/uploads/p/l/40023478_5-fresho-coconut-organically-grown.jpg,1 pc,Fruits & Vegetables,Organic Fruits,https://www.bigbasket.com/pd/40023478/fresho-coconut-organically-grown-1-pc/,Mixed Veg Curry,4,14,7,4
Coconut Oil,Mr. Gold,265,177,https://www.bigbasket.com/media/uploads/p/l/40114612_2-mr-gold-coconut-oil.jpg,1 L,"Foodgrains, Oil & Masala",Cooking Coconut Oil,https://www.bigbasket.com/pd/40114612/mr-gold-coconut-oil-1-l/,Mixed Veg Curry,4,14,7,4
Colocasia (Loose),Fresho,89.61,53.5,https://www.bigbasket.com/media/uploads/p/l/10000094_15-fresho-colocasia.jpg,1 kg,Fruits & Vegetables,Root Vegetables,https://www.bigbasket.com/pd/10000094/fresho-colocasia-1-kg/,Mixed Veg Curry,4,14,7,4
Cow Desi Ghee/Tuppa,Fresho Organic,1300,729,https://www.bigbasket.com/media/uploads/p/l/40112229_11-fresho-organic-cow-desi-gheetuppa.jpg,1 L,"Foodgrains, Oil & Masala","Organic Edible Oil, Ghee",https://www.bigbasket.com/pd/40112229/fresho-organic-cow-desi-gheetuppa-1-l/,Mixed Veg Curry,4,14,7,4
"Cow Ghee - Organic Bilona, Pure & Natural",Himalayan Natives,1300,1040,https://www.bigbasket.com/media/uploads/p/l/40228894_3-himalayan-natives-cow-ghee-organic-bilona-pure-natural.jpg,1 L,"Foodgrains, Oil & Masala","Organic Edible Oil, Ghee",https://www.bigbasket.com/pd/40228894/himalayan-natives-cow-ghee-organic-bilona-pure-natural-1-l/,Mixed Veg Curry,4,14,7,4
Cumin/Jeera/Jeerige - Whole,BB Royal,600,380,https://www.bigbasket.com/media/uploads/p/l/40030808_10-bb-royal-cuminjeera-whole.jpg,1 kg,"Foodgrains, Oil & Masala",Whole Spices,https://www.bigbasket.com/pd/40030808/bb-royal-cuminjeera-whole-1-kg/,Mixed Veg Curry,4,14,7,4
Curry Leaves,Fresho,157.14,51,https://www.bigbasket.com/media/uploads/p/l/10000327_13-fresho-curry-leaves.jpg,1 kg,Fruits & Vegetables,Indian & Exotic Herbs,https://www.bigbasket.com/pd/10000327/fresho-curry-leaves-1-kg/,Saag/Leafy Veg Curry,5,10,5,5
